No.;Time;Comment;Scramble;Date;P.1
1;2:29.89;;3Uw Dw F2 Lw Fw D2 3Rw2 L2 Bw2 Lw2 Fw L' 3Uw2 L2 Lw' 3Fw' Uw D' 3Uw' L2 F Rw2 Lw2 3Fw' U B2 Dw' F' Rw 3Fw D B' U2 Rw' 3Uw' Lw B L U' Uw D Dw 3Fw' D F U2 F 3Fw' U2 Dw' Fw' F L R2 Uw' Bw2 3Uw D' Uw' U Lw' B Rw' R' 3Rw Dw2 R2 Uw2 F2 3Fw U' Lw' Rw' 3Uw2 U' B' 3Uw' Rw' Bw2 Rw2;2024-11-12 18:16:33;2:29.89
2;2:30.93;;B2 L2 3Fw2 3Uw' B D' 3Rw' Rw2 U2 Fw2 B' 3Fw' Dw L2 3Uw2 3Rw R Bw' Lw L' Bw' U2 Uw' R2 D2 F Uw2 Dw' D2 3Fw Rw L2 U' 3Uw R Fw 3Rw L2 B2 Bw R D Dw Rw' B2 U' D Lw2 3Uw2 Fw' F' L2 Lw2 U Fw2 U L' B' F2 Lw2 Dw' R' Rw Dw2 F Dw Uw2 B' R' Bw' L2 R' Rw Bw B' F R' Fw' R2 L';2024-11-12 19:01:29;2:30.93
3;2:40.22;;3Uw2 Uw Dw Fw2 Uw2 D U2 3Fw U 3Uw Uw' Fw2 3Uw Bw' F' B2 3Fw2 3Rw D' L2 Dw2 Lw2 3Fw Lw2 L Dw2 3Rw2 B Uw2 F' D' Uw2 3Uw2 Bw B Dw' 3Uw' 3Fw2 R' B' Dw2 3Uw2 Rw B2 Dw2 Fw Dw2 3Rw L2 Bw' D Fw2 D F' Bw R U B2 F U2 3Rw R2 Dw2 3Uw Fw2 Bw L' Rw' U' 3Uw' F' U Bw' 3Uw L B2 D Uw Rw Uw2;2024-11-12 19:10:16;2:40.22
4;2:57.13;;Fw Lw2 Fw2 B 3Uw' 3Rw D2 U2 B2 L U' Lw Rw Bw' 3Rw D' Uw' 3Rw' Rw Fw2 F D2 Lw' 3Uw Bw L2 B2 Bw2 3Fw 3Rw Fw2 Dw' Lw' U' Rw D' Dw' 3Uw2 3Fw D2 L' Fw Bw' 3Uw R2 Uw Fw2 B Dw2 L2 3Fw' R' 3Fw Lw' 3Uw Bw Uw 3Uw' D' Dw L2 Dw2 R' B Uw2 R' Uw L' Rw' Lw Uw2 3Rw' Fw2 D Fw' U2 B' R' Lw 3Rw';2024-11-12 19:13:57;2:57.13
5;2:45.70;;R' Lw U' D' L Bw2 3Rw' Rw 3Fw 3Rw2 Lw' D 3Uw2 Bw2 Uw F 3Fw2 Fw 3Rw2 B U' 3Uw' Fw Rw' 3Uw F' D' 3Rw' 3Uw Bw 3Rw2 Bw' Lw2 Dw2 Lw2 F2 Dw L 3Uw2 Lw' L' Bw2 B2 3Fw Rw 3Rw2 Fw Dw2 Uw D L U' 3Rw B2 Rw2 Bw Rw U' 3Uw' 3Rw R' L2 F' D 3Fw2 F' Rw' Dw2 Bw L Dw' R' B2 Dw' Fw U' Fw' F' U' R;2024-11-13 11:05:53;2:45.70
6;2:49.16;;Uw' Fw' D' Fw' 3Uw2 Rw2 3Uw F2 Bw' Dw F2 3Uw2 Rw2 U2 Fw Bw2 Rw2 R L' Bw 3Rw B2 L2 Fw2 3Uw' U 3Rw2 F' R' Uw2 D' 3Rw2 3Uw' Lw 3Uw' 3Rw' Bw2 F' 3Fw2 U' B2 Bw L 3Fw R' Rw2 B' R' Rw' D' U' Lw Dw Lw' Fw 3Rw' Fw2 3Uw' F Uw' Dw' U' Bw2 Lw' Bw' 3Rw B' Uw 3Uw2 3Rw Uw' Lw' Rw 3Rw L' D2 Fw F U F;2024-11-13 11:09:36;2:49.16
7;3:02.56;;F 3Uw' D2 Fw' F Dw2 R' L Rw' D2 R' B 3Fw' Rw2 Bw2 U L2 Uw2 R' Rw' 3Rw' 3Fw 3Rw' B2 Lw Bw2 Dw Lw' R2 3Rw Uw' 3Fw2 3Uw' Uw' R2 Uw2 F2 R Fw2 3Fw' Uw L Fw Lw' 3Fw2 Lw Uw D' R2 Fw' Lw' D' Dw' Lw2 Uw' L2 Uw' Lw F Fw' Uw 3Uw2 Lw' B2 3Rw2 B D 3Uw2 Bw2 U 3Rw D2 Fw' D Lw Bw2 Rw' U2 L' F2;2024-11-13 11:13:29;3:02.56
8;2:55.85;;U' 3Uw2 Uw' 3Rw' Uw R2 F2 Rw D2 L 3Uw2 U' Dw D' Fw 3Uw Rw' Fw F' 3Rw U2 Bw Dw Fw2 3Fw2 L2 Dw2 B' Uw' B' F' L' R2 3Rw' Lw Bw U 3Fw Dw 3Rw' Rw Lw L2 Fw2 3Rw U2 D 3Uw2 Bw D U' Uw L2 D' Dw2 3Rw' Lw B' Lw' Bw' Dw Fw2 Uw D' R' U' D2 F2 Dw' Fw 3Rw Uw2 L 3Rw' Rw2 Bw' Rw Uw2 3Fw2 Uw2;2024-11-13 15:14:53;2:55.85
9;2:40.72;;L Lw F2 Lw' B' 3Fw2 U' 3Rw2 D' F' Uw2 F2 Bw2 3Uw F U B D' Rw' D' U Lw2 L' 3Fw 3Uw' 3Fw' Bw R2 3Fw' Lw2 3Fw2 L Lw2 Fw2 L2 Fw' L Fw B 3Rw' Fw2 L2 D2 3Uw' Dw2 Rw Bw2 3Rw Uw2 Bw 3Uw2 Uw2 Dw2 3Rw' 3Fw2 Dw2 Uw' D' R2 Dw2 Lw2 F' Bw2 D F' Rw2 Fw Bw' F2 Uw2 U 3Rw2 U F 3Rw' F2 3Rw' 3Uw' Fw B';2024-11-13 15:18:59;2:40.72
10;3:12.62;;Rw' Uw F Rw' D B Rw Uw F2 3Rw' F2 3Fw Bw' 3Uw 3Fw2 3Rw2 3Fw' Bw' B L F2 Rw R2 Uw2 U2 Fw F2 Rw' 3Rw Dw' F B2 3Fw2 Dw B R Bw' D' L2 B2 Dw 3Fw' F' R2 Rw B D Dw 3Uw' F Bw' Rw 3Fw B2 Bw L2 3Uw2 3Fw' R2 B' F 3Uw' Fw' 3Uw' Bw2 Fw2 Lw' L' Uw D 3Rw 3Fw2 3Rw2 3Uw' R2 Fw' 3Rw' 3Uw' F' Dw2;2024-11-13 15:22:33;3:12.62